condition,symptoms,drug,side_effects
Acid Reflux,"chest pain, heartburn, regurgitation of food",Omeprazole,"headache, abdominal pain"
Migraine,"light sensitivity, nausea",Sumatriptan,"drowsiness, tingling sensation"
Flu,"body ache, cough, sore throat, fever",Paracetamol,"nausea, dizziness"
Hypertension,"high blood pressure, fatigue, severe headache, chest pain",Amlodipine,"swelling of ankles, headache"
Gastroenteritis,"stomach cramps, diarrhea, low-grade fever",Loperamide,"constipation, dizziness"
Cold,"mild fever, cough, congestion, sneezing",Cetirizine,"dry mouth, tiredness"
Migraine,"headache, nausea, light sensitivity",Sumatriptan,"drowsiness, tingling sensation"
Cold,"sneezing, mild fever, cough",Cetirizine,"dry mouth, tiredness"
Diabetes,"frequent urination, unexplained weight loss, excessive thirst, fatigue",Metformin,"stomach upset, metallic taste"
Cold,"sneezing, congestion, cough, runny nose",Cetirizine,"dry mouth, tiredness"
Acid Reflux,"regurgitation of food, heartburn",Omeprazole,"headache, abdominal pain"
Cold,"mild fever, cough, runny nose",Cetirizine,"dry mouth, tiredness"
Diabetes,"excessive thirst, fatigue",Metformin,"stomach upset, metallic taste"
Insomnia,"fatigue, waking up during night, irritability, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"difficulty swallowing, chest pain, heartburn",Omeprazole,"headache, abdominal pain"
Diabetes,"unexplained weight loss, excessive thirst, frequent urination, fatigue",Metformin,"stomach upset, metallic taste"
Insomnia,"fatigue, irritability, waking up during night",Zolpidem,"daytime drowsiness, dizziness"
Hypertension,"high blood pressure, severe headache, chest pain, vision problems",Amlodipine,"swelling of ankles, headache"
Gastroenteritis,"vomiting, nausea, stomach cramps, low-grade fever",Loperamide,"constipation, dizziness"
Hypertension,"vision problems, severe headache",Amlodipine,"swelling of ankles, headache"
Diabetes,"frequent urination, excessive thirst, fatigue",Metformin,"stomach upset, metallic taste"
Diabetes,"unexplained weight loss, excessive thirst, fatigue",Metformin,"stomach upset, metallic taste"
Flu,"headache, fever",Paracetamol,"nausea, dizziness"
Allergy,"sneezing, hives, itchy eyes",Loratadine,"headache, stomach pain"
Gastroenteritis,"nausea, vomiting, low-grade fever, stomach cramps",Loperamide,"constipation, dizziness"
Diabetes,"unexplained weight loss, frequent urination",Metformin,"stomach upset, metallic taste"
Migraine,"blurred vision, headache, light sensitivity",Sumatriptan,"drowsiness, tingling sensation"
Gastroenteritis,"vomiting, nausea, diarrhea",Loperamide,"constipation, dizziness"
Allergy,"sneezing, itchy eyes, skin rash",Loratadine,"headache, stomach pain"
Asthma,"coughing, chest tightness, wheezing, shortness of breath",Albuterol,"tremors, fast heart rate"
Acid Reflux,"difficulty swallowing, chest pain, regurgitation of food",Omeprazole,"headache, abdominal pain"
Asthma,"wheezing, shortness of breath, coughing",Albuterol,"tremors, fast heart rate"
Insomnia,"fatigue, waking up during night, irritability, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Migraine,"headache, throbbing pain",Sumatriptan,"drowsiness, tingling sensation"
Insomnia,"irritability, difficulty falling asleep, waking up during night, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Flu,"headache, cough, body ache",Paracetamol,"nausea, dizziness"
Asthma,"wheezing, chest tightness",Albuterol,"tremors, fast heart rate"
Diabetes,"unexplained weight loss, frequent urination",Metformin,"stomach upset, metallic taste"
Migraine,"headache, light sensitivity",Sumatriptan,"drowsiness, tingling sensation"
Acid Reflux,"regurgitation of food, heartburn",Omeprazole,"headache, abdominal pain"
Acid Reflux,"chest pain, heartburn",Omeprazole,"headache, abdominal pain"
Migraine,"nausea, headache",Sumatriptan,"drowsiness, tingling sensation"
Cold,"runny nose, cough",Cetirizine,"dry mouth, tiredness"
Asthma,"shortness of breath, wheezing",Albuterol,"tremors, fast heart rate"
Hypertension,"high blood pressure, vision problems, severe headache, chest pain",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"heartburn, regurgitation of food",Omeprazole,"headache, abdominal pain"
Asthma,"shortness of breath, wheezing",Albuterol,"tremors, fast heart rate"
Flu,"fever, sore throat, cough",Paracetamol,"nausea, dizziness"
Hypertension,"vision problems, severe headache, fatigue",Amlodipine,"swelling of ankles, headache"
Flu,"fatigue, cough, fever, sore throat",Paracetamol,"nausea, dizziness"
Diabetes,"unexplained weight loss, fatigue, excessive thirst",Metformin,"stomach upset, metallic taste"
Insomnia,"waking up during night, difficulty falling asleep, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Diabetes,"fatigue, unexplained weight loss, excessive thirst, frequent urination",Metformin,"stomach upset, metallic taste"
Asthma,"shortness of breath, chest tightness, wheezing, coughing",Albuterol,"tremors, fast heart rate"
Acid Reflux,"heartburn, regurgitation of food",Omeprazole,"headache, abdominal pain"
Cold,"congestion, mild fever, sneezing, runny nose",Cetirizine,"dry mouth, tiredness"
Acid Reflux,"difficulty swallowing, heartburn",Omeprazole,"headache, abdominal pain"
Insomnia,"difficulty falling asleep, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Cold,"mild fever, cough, congestion, runny nose",Cetirizine,"dry mouth, tiredness"
Hypertension,"vision problems, severe headache, fatigue",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"heartburn, difficulty swallowing, regurgitation of food",Omeprazole,"headache, abdominal pain"
Migraine,"headache, nausea",Sumatriptan,"drowsiness, tingling sensation"
Diabetes,"frequent urination, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Hypertension,"severe headache, vision problems, fatigue",Amlodipine,"swelling of ankles, headache"
Cold,"sneezing, runny nose",Cetirizine,"dry mouth, tiredness"
